"controle";"categoria";"tipo";"calibre";"marca";"quantidade";"origem"
"96627371-2019";1;"garrucha";".32";"indeterminado";1;1
"98355731-2019";1;"espingarda";".30";"rossi";1;2
"99746441-2019";1;"pistola";"6,35 mm";"beretta";1;2
"01632871-2019";1;"fuzil";".308 winchester (7,62x51 mm)";"imbel";1;1
"01632871-2019";1;"fuzil";".223 remington (5,56x45 mm)";"imbel";1;1
"21657971-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;1
"35965401-2019";1;"pistola";".40 s&w (10 x 22)";"taurus";1;2
"40347491-2019";1;"revólver";".38";"taurus";1;2
"42700291-2019";1;"revólver";".32";"taurus";1;2
"43516241-2019";1;"revólver";".38";"taurus";1;2
"52405441-2019";1;"revólver";".45";"smith & welson";1;1
"59964521-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"67470981-2019";1;"pistola";"9 mm";"taurus";1;2
"68468691-2019";1;"revólver";".38";"taurus";1;2
"68836821-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;2
"80090731-2019";1;"revólver";".32";"colt";1;2
"80090731-2019";1;"revólver";".32";"ina";1;2
"83775461-2019";1;"fuzil";".223 remington (5,56x45 mm)";"d.p.m.s.";1;1
"89561581-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;1
"92859961-2019";1;"pistola";"9 mm luger (9x19mm)";"canik";1;1
"92859961-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"05205991-2019";1;"revólver";".38";"taurus";1;2
"24247931-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"25369811-2019";1;"espingarda";"28";"não identificada";1;1
"27710371-2019";1;"pistola";"9 mm";"girsan";1;1
"38838441-2019";1;"revólver";".32";"taurus";1;2
"39874711-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"41438911-2019";1;"revólver";".38 spl";"taurus";1;2
"41540431-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"44790191-2019";1;"revólver";".32 s&w long";"s&w";1;1
"63774421-2019";1;"fuzil";"5,56 mm";"não identificada";1;1
"64914881-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"66701131-2019";1;"espingarda";"36";"cbc";1;1
"67731151-2019";1;"revólver";".22 lr";"cbc";1;2
"70583071-2019";1;"revólver";".38";"taurus";1;2
"77955031-2019";1;"revólver";".38";"rossi";1;2
"89810791-2019";1;"pistola";"9 mm";"glock";1;1
"96327001-2019";1;"pistola";"6,35 mm";"beretta";1;2
"05751571-2019";1;"revólver";".38";"taurus";1;2
"08188781-2019";1;"revólver";".38";"taurus";1;1
"13559391-2019";1;"revólver";".32 s&w long";"colt";1;1
"13862261-2019";1;"pistola";"9 mm";"taurus";1;2
"19218151-2019";1;"pistola";".380";"taurus";1;2
"24279251-2019";1;"revólver";".38 short";"s&w";1;1
"29659551-2019";1;"pistola";"9 mm";"taurus";1;2
"31411411-2019";1;"pistola";"9 mm";"sarsilmaz";1;1
"31411411-2019";1;"revólver";".38";"taurus";1;2
