controle;categoria;tipo;calibre;marca;quantidade;origem
27710371-2018;1;revólver;.32;rossi;1;2
29659551-2018;1;revólver;.38 special (9 x 29,5 mm);rossi;1;1
31411411-2018;1;carabina;indeterminado;urko;1;2
31411411-2018;1;revólver;.38;taurus;1;2
31411411-2018;1;pistola;9 mm;taurus;1;2
41438911-2018;1;revólver;38 spl;taurus;1;2
41540431-2018;1;revólver;.38 special (9 x 29,5 mm);não identificada;1;1
63774421-2018;1;pistola;9 mm luger (9x19mm);s&w;1;1
66701131-2018;1;revólver;.38;taurus;1;2
67103051-2018;1;pistola;9 mm luger (9x19mm);cz;1;1
67731151-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
70583071-2018;1;pistola;9 mm;taurus;1;2
77955031-2018;1;pistola;9 mm;taurus;1;2
89810791-2018;1;revólver;38 spl;taurus;1;2
91490751-2018;1;pistola;.380;bersa;1;1
94011791-2018;1;pistola;.40;glock;1;1
96327001-2018;1;pistola;.380;não identificada;1;1
96327001-2018;1;revólver;.38;taurus;1;2
05751571-2018;1;fuzil;7,62;zastava;1;1
05751571-2018;1;pistola;9 mm;glock;1;1
06152601-2018;1;revólver;32;taurus;1;2
06962921-2018;1;pistola;9 mm;taurus;1;2
07177211-2018;1;pistola;.40;taurus;1;1
07834081-2018;1;pistola;.40;taurus;1;2
12171041-2018;1;revólver;.32 s&w long;taurus;1;2
12838921-2018;1;revólver;.32 s&w long;taurus;1;2
13559391-2018;1;espingarda;12;não identificada;1;2
14352991-2018;1;pistola;9 mm;fn;1;1
21916981-2018;1;submetralhadora;9 mm luger (9x19mm);não identificada;1;1
34358771-2018;1;revólver;.38;taurus;1;2
42574191-2018;1;revólver;.38;não identificada;1;2
45696281-2018;1;revólver;.38 spl;rossi;1;2
50512351-2018;1;revólver;.38 spl;taurus;1;2
51402411-2018;1;pistola;9 mm luger (9x19mm);star;1;1
60725151-2018;1;pistola;9 mm luger (9x19mm);tisas;1;1
67423081-2018;1;revólver;.38;rossi;1;2
69977571-2018;1;revólver;.38;taurus;1;2
73973061-2018;1;pistola;9 mm parabellum (9x19mm);girsan;1;1
73973061-2018;1;pistola;.380;taurus;1;2
74164941-2018;1;revólver;.22;não identificada;1;1
76750411-2018;1;fuzil;.308 winchester (7,62x51 mm);não identificada;1;1
83653521-2018;1;revólver;.38;taurus;1;2
91504251-2018;1;espingarda;32;rossi;1;2
91504251-2018;1;revólver;.32 s&w long;s&w;1;1
94340131-2018;1;pistola;40;glock;1;1
94870181-2018;1;pistola;.40 s&w;glock;1;1
